name;year
Divy Agrawal;2021
Amr El Abbadi;2021
Geon Lee;2020
Jihoon Ko;2020
Kijung Shin;2020
Juliana Freire;2021
Xuemin Lin 0001;2021
Daniel ten Wolde;2023
Gábor Szárnyas;2023
Peter A. Boncz;2023
Bingqing Lyu;2020
Lu Qin 0001;2020
Xuemin Lin 0001;2020
Ying Zhang 0001;2020
Zhengping Qian;2020
Jingren Zhou;2020
Arindam Bhattacharya;2022
Chathur Gudesa;2022
Amitabha Bagchi;2022
Srikanta Bedathur;2022
Shiva Jahangiri;2022
Michael J. Carey 0001;2022
Johann-Christoph Freytag;2022
Yushi Sun;2023
Hao Xin;2023
Lei Chen 0002;2023
Michael Abebe 0001;2020
Brad Glasbergen;2020
Khuzaima Daudjee;2020
Jianyu Yang;2020
Tianhao Wang 0001;2020
Ninghui Li;2020
Xiang Cheng 0003;2020
Sen Su;2020
Yuanbing Li;2020
Xian Wu;2020
Yifei Jin;2020
Jian Li 0015;2020
Guoliang Li 0001;2020
Renjie Xiao;2022
Zijing Tan;2022
Haojin Wang;2022
Shuai Ma 0001;2022
Yongjun He;2020
Jiacheng Lu;2020
Tianzheng Wang 0001;2020
Hao Jiang;2020
Chunwei Liu;2020
Qi Jin;2020
John Paparrizos;2020
Aaron J. Elmore;2020
Jan Niklas Adams;2023
Cameron Pitsch;2023
Tobias Brockhoff;2023
Wil M. P. van der Aalst;2023
Colin Adams;2020
Luis Alonso;2020
Benjamin Atkin;2020
John Banning;2020
Sumeer Bhola;2020
Rick Buskens;2020
Ming Chen;2020
Xi Chen;2020
Yoo Chung;2020
Qin Jia;2020
Nick Sakharov;2020
George Talbot;2020
Nick Taylor;2020
Adam Tart;2020
Jiabin Liu;2021
Fu Zhu;2021
Chengliang Chai;2021
Yuyu Luo;2021
Nan Tang 0001;2021
Stefano Cereda;2021
Stefano Valladares;2021
Paolo Cremonesi;2021
Stefano Doni;2021
Hillel Avni;2020
Alisher Aliev;2020
Oren Amor;2020
Aharon Avitzur;2020
Ilan Bronshtein;2020
Eli Ginot;2020
Shay Goikhman;2020
Eliezer Levy;2020
Idan Levy;2020
Fuyang Lu;2020
Liran Mishali;2020
Yeqin Mo;2020
Nir Pachter;2020
Dima Sivov;2020
Vinoth Veeraraghavan;2020
Vladi Vexler;2020
Lei Wang;2020
Peng Wang;2020
Zuozhi Wang;2020
Avinash Kumar;2020
Shengquan Ni;2020
Chen Li 0001;2020
Jovan Blanusa;2020
Radu Stoica;2020
Paolo Ienne;2020
Kubilay Atasu;2020
Nikolaos Koutroumanis;2021
Nikolaos Kousathanas;2021
Christos Doulkeridis;2021
Akrivi Vlachou;2021
Yue Chen;2022
Kaiyu Feng;2022
Gao Cong;2022
Han Mao Kiah;2022
Wenfei Fan;2021
Tao He;2021
Longbin Lai;2021
Xue Li;2021
Yong Li;2021
Zhao Li;2021
Zhengping Qian;2021
Chao Tian 0001;2021
Lei Wang;2021
Jingbo Xu 0001;2021
Youyang Yao;2021
Qiang Yin 0002;2021
Wenyuan Yu;2021
Kai Zeng;2021
Kun Zhao;2021
Jingren Zhou;2021
Diwen Zhu;2021
Rong Zhu;2021
Dan Olteanu;2020
Dimitrios Koutsoukos;2023
Raghav Bhartia;2023
Michal Friedman 0001;2023
Ana Klimovic;2023
Gustavo Alonso;2023
Cheng Xu 0004;2021
Ce Zhang 0007;2021
Jianliang Xu;2021
Jian Pei;2021
Zemin Chao;2022
Hong Gao 0001;2022
Yinan An;2022
Jianzhong Li 0001;2022
Mourad Khayati;2020
Ines Arous;2020
Zakhar Tymchenko;2020
Philippe Cudré-Mauroux;2020
Luigi Bellomarini;2023
Marco Benedetti;2023
Andrea Gentili;2023
Davide Magnanimi;2023
Emanuel Sallinger;2023
Sachin Basil John;2022
Christoph Koch 0001;2022
Olga Poppe;2020
Tayo Amuneke;2020
Dalitso Banda;2020
Aritra De;2020
Ari Green;2020
Manon Knoertzer;2020
Ehi Nosakhare;2020
Karthik Rajendran;2020
Deepak Shankargouda;2020
Meina Wang;2020
Alan Au;2020
Carlo Curino;2020
Qun Guo;2020
Alekh Jindal;2020
Ajay Kalhan;2020
Morgan Oslake;2020
Sonia Parchani;2020
Vijay Ramani;2020
Raj Sellappan;2020
Saikat Sen;2020
Sheetal Shrotri;2020
Soundararajan Srinivasan;2020
Ping Xia;2020
Shize Xu;2020
Alicia Yang;2020
Yiwen Zhu;2020
Kuntai Cai;2021
Xiaoyu Lei;2021
Jianxin Wei 0005;2021
Xiaokui Xiao;2021
Angela Bonifati;2022
Francesco Del Buono;2022
Francesco Guerra 0001;2022
Donato Tiano;2022
Debjyoti Paul;2021
Jie Cao 0010;2021
Feifei Li 0001;2021
Vivek Srikumar;2021
Subhadeep Sarkar;2021
Dimitris Staratzis;2021
Zichen Zhu;2021
Manos Athanassoulis;2021
Tsz Nam Chan;2021
Pak Lon Ip;2021
Leong Hou U;2021
Weng Hou Tong;2021
Shivansh Mittal;2021
Ye Li;2021
Reynold Cheng;2021
Danyang Zhuo;2021
Kaiyuan Zhang 0001;2021
Zhuohan Li;2021
Siyuan Zhuang;2021
Stephanie Wang;2021
Ang Chen 0001;2021
Ion Stoica;2021
Ankur Agiwal;2021
Kevin Lai;2021
Gokul Nath Babu Manoharan;2021
Indrajit Roy 0001;2021
Jagan Sankaranarayanan;2021
Hao Zhang;2021
Tao Zou 0002;2021
Jim Chen;2021
Min Chen;2021
Ming Dai;2021
Thanh Do;2021
Haoyu Gao;2021
Haoyan Geng;2021
Raman Grover;2021
Bo Huang;2021
Yanlai Huang;2021
Adam Li;2021
Jianyi Liang;2021
Tao Lin;2021
Li Liu;2021
Yao Liu;2021
Xi Mao;2021
Maya Meng;2021
Prashant Mishra;2021
Jay Patel;2021
Rajesh Sr;2021
Vijayshankar Raman;2021
Sourashis Roy;2021
Mayank Singh Shishodia;2021
Tianhang Sun;2021
Justin Tang;2021
Jun'ichi Tatemura;2021
Sagar Trehan;2021
Ramkumar Vadali;2021
Prasanna Venkatasubramanian;2021
Joey Zhang;2021
Kefei Zhang;2021
Yupu Zhang;2021
Zeleng Zhuang;2021
Goetz Graefe;2021
Divy Agrawal;2021
Jeffrey F. Naughton;2021
Sujata Kosalge;2021
Hakan Hacigümüs;2021
Dennis M. Hofmann;2022
Peter VanNostrand;2022
Huayi Zhang;2022
Yizhou Yan;2022
Lei Cao 0004;2022
Samuel Madden 0001;2022
Elke A. Rundensteiner;2022
Jiachuan Wang;2022
Peng Cheng 0003;2022
Libin Zheng;2022
Lei Chen 0002;2022
Wenjie Zhang 0001;2022
Lianke Qin;2022
Rajesh Jayaram;2022
Elaine Shi;2022
Zhao Song 0002;2022
Danyang Zhuo;2022
Shumo Chu;2022
Mary Karatzoglidi;2021
Paraskevas Kerasiotis;2021
Verena Kantere;2021
Jiachen Shi;2022
Gao Cong;2022
Xiaoli Li;2022
Hai Lan;2022
Jiong Xie;2022
Zhifeng Bao;2022
Feifei Li 0001;2022
Wei Tian;2022
Fang Wang;2022
Sheng Wang 0011;2022
Ailin Zhang;2022
Caixin Gong;2022
Chengjin Tian;2022
Zhengheng Wang;2022
Sheng Wang 0011;2022
Xiyu Wang;2022
Qiulei Fu;2022
Wu Qin;2022
Qian Long;2022
Rui Chen;2022
Jiang Qi;2022
Ruo Wang;2022
Guoyun Zhu;2022
Chenghu Yang;2022
Wei Zhang;2022
Feifei Li 0001;2022
Yifan Gan;2020
Xueyuan Ren;2020
Drew Ripberger;2020
Spyros Blanas;2020
Yang Wang 0009;2020
Zitao Li;2021
Bolin Ding;2021
Ce Zhang 0001;2021
Ninghui Li;2021
Jingren Zhou;2021
Wenfei Fan;2023
Resul Tugay;2023
Yaoshu Wang;2023
Min Xie;2023
Muhammad Asif Ali;2023
Kejing Lu;2021
Mineichi Kudo;2021
Chuan Xiao 0001;2021
Yoshiharu Ishikawa;2021
Axel Hertzschuch;2022
Claudio Hartmann;2022
Dirk Habich;2022
Wolfgang Lehner;2022
Chenhao Ma 0001;2022
Reynold Cheng;2022
Laks V. S. Lakshmanan;2022
Xiaolin Han;2022
Per Fuchs;2022
Jana Giceva;2022
Domagoj Margan;2022
Kefei Wang;2020
Jian Liu;2020
Feng Chen 0005;2020
Jiaqi Wang;2023
Tianyi Li 0005;2023
Anni Wang;2023
Xiaoze Liu;2023
Lu Chen 0001;2023
Jie Chen;2023
Jianye Liu;2023
Junyang Wu;2023
Feifei Li;2023
Yunjun Gao;2023
Christos Koutras;2021
Kyriakos Psarakis;2021
George Siachamis;2021
Andra Ionescu;2021
Marios Fragkoulis;2021
Angela Bonifati;2021
Asterios Katsifodimos;2021
Tim Kraska;2021
Rahul Potharaju;2020
Terry Kim;2020
Wentao Wu 0001;2020
Vidip Acharya;2020
Steve Suh;2020
Andrew Fogarty;2020
Apoorve Dave;2020
Sinduja Ramanujam;2020
Tomas Talius;2020
Lev Novik;2020
Raghu Ramakrishnan;2020
Zoi Kaoudi;2022
Jorge-Arnulfo Quiané-Ruiz;2022
Audrey Cheng;2021
Xiao Shi;2021
Lu Pan;2021
Anthony Simpson;2021
Neil Wheaton;2021
Shilpa Lawande;2021
Nathan Bronson;2021
Peter Bailis;2021
Natacha Crooks;2021
Ion Stoica;2021
Yancan Mao;2023
Zhanghao Chen;2023
Yifan Zhang;2023
Meng Wang;2023
Yong Fang;2023
Guanghui Zhang;2023
Rui Shi;2023
Richard T. B. Ma;2023
Congying Wang;2023
Nithin Sastry Tellapuri;2023
Sphoorthi Keshannagari;2023
Dylan Zinsley;2023
Zhuoyue Zhao;2023
Dong Xie;2023
Lu Xing;2021
Eric Lee;2021
Tong An;2021
Bo-Cheng Chu;2021
Ahmed Mahmood;2021
Ahmed M. Aly;2021
Jianguo Wang 0001;2021
Walid G. Aref;2021
Yuepeng Wang 0001;2020
Rushi Shah;2020
Abby Criswell;2020
Rong Pan;2020
Isil Dillig;2020
Chenguang Fang;2022
Shaoxu Song;2022
Yinan Mei;2022
Wenfei Fan;2022
Ruochun Jin;2022
Ping Lu;2022
Chao Tian 0001;2022
Ruiqi Xu;2022
Demian E. Vöhringer;2023
Viktor Leis;2023
Zhiguo Jiang;2023
Hanhua Chen;2023
Hai Jin 0001;2023
Baotong Lu;2020
Xiangpeng Hao;2020
Tianzheng Wang 0001;2020
Eric Lo 0001;2020
Yifan Li 0006;2021
Xiaohui Yu 0001;2021
Nick Koudas;2021
Stefan Neumann 0003;2020
Pauli Miettinen;2020
Yufei Tao 0001;2020
Yuval Moskovitch;2020
H. V. Jagadish;2020
Daniel Kang;2021
John Guibas;2021
Peter Bailis;2021
Tatsunori Hashimoto;2021
Yi Sun 0010;2021
Matei Zaharia;2021
Michael J. Freitag;2020
Maximilian Bandle;2020
Tobias Schmidt;2020
Alfons Kemper;2020
Thomas Neumann 0001;2020
Ye Yuan 0001;2021
Delong Ma;2021
Zhenyu Wen;2021
Zhiwei Zhang;2021
Guoren Wang;2021
Lixi Zhou;2022
Jiaqing Chen;2022
Amitabh Das;2022
Hong Min;2022
Lei Yu 0002;2022
Ming Zhao;2022
Jia Zou 0001;2022
Xuanhe Zhou;2023
Cheng Chen 0008;2023
Kunyi Li;2023
Bingsheng He;2023
Mian Lu;2023
Qiaosheng Liu;2023
Wei Huang;2023
Guoliang Li 0001;2023
Zhao Zheng;2023
Yuqiang Chen;2023
Huayi Zhang;2021
Lei Cao 0004;2021
Samuel Madden 0001;2021
Elke A. Rundensteiner;2021
Haoyue Ping;2020
Julia Stoyanovich;2020
Benny Kimelfeld;2020
Dong June Lew;2023
Kihyun Yoo;2023
Kwang Woo Nam;2023
Kelin Luo;2023
Alexandre M. Florio;2023
Syamantak Das;2023
Xiangyu Guo;2023
Huan Li 0003;2022
Lanjing Yi;2022
Bo Tang 0016;2022
Hua Lu 0001;2022
Christian S. Jensen;2022
Xiang Yu;2022
Chengliang Chai;2022
Guoliang Li 0001;2022
Jiabin Liu;2022
Ramon Antonio Rodriges Zalipynis;2023
Shadaj Laddad;2022
Conor Power;2022
Mae Milano;2022
Alvin Cheung;2022
Natacha Crooks;2022
Joseph M. Hellerstein;2022
James Gale;2022
Max Seiden;2022
Deepanshu Utkarsh;2022
Jason Frantz;2022
Rob Woollen;2022
Çagatay Demiralp;2022
Weiyuan Wu;2023
Pei Wang;2023
Yi Xie;2023
Yejia Liu;2023
George Chow;2023
Jiannan Wang;2023
Haibo Wang 0004;2021
Chaoyi Ma;2021
Olufemi O. Odegbile;2021
Shigang Chen;2021
Jih-Kwon Peir;2021
Kapil Khurana;2020
Jayant R. Haritsa;2020
Yannis E. Foufoulas;2022
Alkis Simitsis;2022
Yannis E. Ioannidis;2022
Yiming Li;2023
Yanyan Shen;2023
Lei Chen 0002;2023
Mingxuan Yuan;2023
Philipp Skavantzos;2023
Sebastian Link;2023
Joaquin Vanschoren;2021
Bowen Zhang;2022
Shengan Zheng;2022
Zhenlin Qi;2022
Linpeng Huang;2022
Nigam Shah;2021
Jaydeep Sen;2020
Chuan Lei;2020
Abdul Quamar;2020
Fatma Özcan;2020
Vasilis Efthymiou;2020
Ayushi Dalmia;2020
Greg Stager;2020
Ashish R. Mittal;2020
Diptikalyan Saha;2020
Karthik Sankaranarayanan;2020
Shangdi Yu;2021
Yiqiu Wang;2021
Yan Gu 0001;2021
Laxman Dhulipala;2021
Julian Shun;2021
You Peng;2020
Ying Zhang 0001;2020
Xuemin Lin 0001;2020
Lu Qin 0001;2020
Wenjie Zhang 0001;2020
Tommaso Teofili;2022
